Entity-Origin(e1,e2)	اسیر شده ، <e1>فردی که </e1>با پریدن از <e2>قطار </e2>پوو به مقصد آلمان فرار کرد .
Other	<e1>مادرش </e1>با تکیه بر <e2>شوخ طبعی </e2>با قضیه کنار می آید .
Instrument-Agency(e1,e2)	مجوز از گواهینامه متفاوت است ، زیرا یک الزام دولتی است که قبل از اینکه یک <e2>اپراتور </e2><e1>جرثقیل </e1>شروع به کار کند ، مورد نیاز است .
Other	با انتخاب این <e1>مراسم </e1>در یک <e2>ساختمان </e2>عمومی و دعوت از مهمانان ، شما هر دو را می شناسید که زندگی جدید شما بر زندگی بسیاری از مردم تاثیر می گذارد .
Instrument-Agency(e2,e1)	<e1>نمایش دهنده </e1>در مدت کوتاهی پنجره را با یک <e2>روزنامه </e2>یا ژاکت به مدت 5 ثانیه می پوشاند .
Message-Topic(e1,e2)	همچنین در میان خلبان کمپانی و خلبان و کاپیتان مربوط به <e2>سرعت </e2>و فلاپ‌ها ، <e1>بحث هایی </e1>وجود داشت .
Entity-Origin(e1,e2)	پوشش زیر زمین از بطری‌های پلاستیکی بازیافتی ساخته شده است و <e1>کفپوش </e1>قبلا <e2>لاستیک </e2>اتومبیل بود .
Message-Topic(e1,e2)	یک قانون کیفری بخشی از <e1>قوانین </e1>ایالتی است که به تعریف <e2>جرایم </e2>و تعیین مجازات می‌پردازد .
Other	غذای آماده گوشتی ، در انواع گوناگون ، به خوبی چیده شده ، بهمراه <e1>مخلفاتی </e1>خوب از <e2>چاشنی‌ها </e2>و سالادهای مخلوط در اندازه مناسب تقسیم شده بود .
Other	این <e1>فرآیند </e1><e2>ویژگی‌های </e2>بسیاری را در محصول ایجاد می کند که منفعت هایی برای شما دارد .
Component-Whole(e1,e2)	علاوه بر این ، و به ویژه در مورد زانو‌های آسیب دیده و یا ضعیف ، باید در <e1>لولای </e1><e2>زانوبند </e2>قرار داده شود تا گسترش مفصل زانو را کنترل و جلوگیری از افزایش آن را فراهم کند .
Content-Container(e1,e2)	من <e1>سهام </e1>را در <e2>حساب بازنشستگی </e2>فردی نگه می دارم .
Member-Collection(e2,e1)	به هر حال ، یک <e1>کابین </e1>از <e2>تروریست‌های </e2>نینجا وجود دارد که در سراسر جهان قدم می گذارند و مردم را به خاطر 100 پوند طلا یا معادل امروزی مدرن آن می کشند .
Member-Collection(e2,e1)	هر دو آنها نقش مهمی را در <e1>برتپاک </e1>پنج نفره <e2>نوجوانان </e2>بازی می کنند که آینده بازی را در دست دارند .
Member-Collection(e2,e1)	انقلاب آیوتلا نمایانگر <e1>ائتلاف </e1>گسترده‌ای از <e2>نیروها </e2>بود .
Entity-Origin(e2,e1)	دو سال پیش من <e2>سس </e2><e1>کرانبری </e1>را درست کردم تا برایش بمیرم .
Content-Container(e1,e2)	او <e1>تکه‌های </e1>شیشه‌ای را که در محلول پورانا قرار گرفته بود ، درست درون <e2>ظرف </e2>قرار داد .
Message-Topic(e1,e2)	چارلز داروین 150 سال پیش در کتاب پیشگامانش پیشنهاد کرد <e1>بحث </e1>در مورد <e2>تئوری </e2>تکامل ادامه می یابد .
Entity-Origin(e1,e2)	از جلو ، به نظر می رسد نوعی <e1>ماشین </e1>از <e2>آینده </e2>در یک فیلم علمی تخیلی دهه 50 است .
Member-Collection(e2,e1)	در مزرعه من‌ ، <e2>سهره‌های </e2><e1>لرزان </e1>وجود دارند .
Cause-Effect(e2,e1)	اطلاعات عمومی در مورد <e1>عفونت </e1>ناشی از یک <e2>باکتری </e2>به نام سالمونلا ، زمانی که غذا خام خورده می شود یا به مقدار کافی پخته نشده باشد .
